name,light_years_from_earth,planet_mass,stellar_magnitude,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,solar_system_name,planet_discovery_method,planet_orbital_inclination,host_temperature,host_radius,host_mass,right_ascension,declination
11 comae berenices b,304.0,19.4 Jupiters,4.72307,Gas Giant,1.08 x Jupiter,1.29 AU,326 days,0.23,11 com b,11 Com,Radial Velocity,,4742.0,19.0,2.7,12h20m42.91s,+17d47m35.71s
11 ursae minoris b,409.0,14.74 Jupiters,5.013,Gas Giant,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 umi b,11 UMi,Radial Velocity,,4213.0,29.79,2.78,15h17m05.90s,+71d49m26.19s
14 andromedae b,246.0,4.8 Jupiters,5.23133,Gas Giant,1.15 x Jupiter,0.83 AU,185.8 days,0.0,14 and b,14 And,Radial Velocity,,4813.0,11.0,2.2,23h31m17.80s,+39d14m09.01s
14 herculis b,58.0,4.66 Jupiters,6.61935,Gas Giant,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 her b,14 Her,Radial Velocity,,5338.0,0.93,0.9,16h10m24.50s,+43d48m58.90s
16 cygni b b,69.0,1.78 Jupiters,6.215,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 cyg b b,16 Cyg B,Radial Velocity,,5750.0,1.13,1.08,19h41m51.75s,+50d31m00.57s
17 scorpii b,408.0,4.32 Jupiters,5.22606,Gas Giant,1.15 x Jupiter,1.45 AU,1.6 years,0.06,17 sco b,17 Sco,Radial Velocity,,4157.0,25.92,1.22,16h13m50.90s,-11d50m16.05s
18 delphini b,249.0,10.3 Jupiters,5.51048,Gas Giant,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 del b,18 Del,Radial Velocity,,4979.0,8.5,2.3,20h58m25.88s,+10d50m20.90s
1rxs j160929.1-210524 b,454.0,8 Jupiters,12.618,Gas Giant,1.664 x Jupiter,330.0 AU,6505.9 years,0.0,1rxs j160929.1-210524 b,1RXS J160929.1-210524,Imaging,,4060.0,1.31,0.85,16h09m30.30s,-21d04m59.31s
24 bootis b,313.0,0.91 Jupiters,5.59,Gas Giant,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 boo b,24 Boo,Radial Velocity,,4893.0,10.64,0.99,14h28m37.33s,+49d50m40.74s
24 sextantis b,235.0,1.99 Jupiters,6.4535,Gas Giant,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 sex b,24 Sex,Radial Velocity,,5098.0,4.9,1.54,10h23m28.44s,-00d54m08.64s
24 sextantis c,235.0,0.86 Jupiters,6.4535,Gas Giant,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 sex c,24 Sex,Radial Velocity,,5098.0,4.9,1.54,10h23m28.44s,-00d54m08.64s
2m0437 b,419.0,4 Jupiters,16.186,Gas Giant,1.16 x Jupiter,118.0 AU,3110.6 years,0.0,2m0437 b,2MASS J04372171+2651014,Imaging,,3100.0,0.84,0.17,04h37m21.73s,+26d51m01.08s
2mass j01033563-5515561 ab b,154.0,13 Jupiters,15.788,Gas Giant,1.1 x Jupiter,84.0 AU,1767.2 years,0.0,2mass j01033563-5515561 ab b,2MASS J01033563-5515561 A,Imaging,,,,0.19,01h03m35.82s,-55d15m56.98s
2mass j01225093-2439505 b,110.0,24.5 Jupiters,14.244,Gas Giant,1.0 x Jupiter,52.0 AU,593.2 years,0.0,2mass j01225093-2439505 b,2MASS J01225093-2439505,Imaging,,3530.0,0.37,0.4,01h22m51.07s,-24d39m52.61s
2mass j02192210-3925225 b,131.0,13.9 Jupiters,15.0123,Gas Giant,1.44 x Jupiter,156.0 AU,5878.1 years,0.0,2mass j02192210-3925225 b,2MASS J02192210-3925225,Imaging,,3064.0,0.28,0.11,02h19m22.25s,-39d25m23.08s
